inq_msg{pid: 10455, deal: 0.39, find: 0.01, post: 0.32}
inq_msg{pid: 10456, deal: 0.39, find: 0.01, post: 0.35}
inq_msg{pid: 10457, deal: 0.36, find: 0.01, post: 0.37}
inq_msg{pid: 10458, deal: 0.32, find: 0.01, post: 0.29}
inq_msg{pid: 10459, deal: 0.33, find: 0.01, post: 0.29}
inq_msg{pid: 10460, deal: 0.34, find: 0.01, post: 0.28}
inq_msg{pid: 10461, deal: 0.34, find: 0.00, post: 0.30}
inq_msg{pid: 10462, deal: 0.32, find: 0.01, post: 0.30}
inq_msg{pid: 10463, deal: 0.34, find: 0.01, post: 0.28}
inq_msg{pid: 10464, deal: 0.32, find: 0.01, post: 0.29}
inq_msg{pid: 10465, deal: 0.35, find: 0.01, post: 0.28}
inq_msg{pid: 10466, deal: 0.34, find: 0.01, post: 0.28}
inq_msg{pid: 10468, deal: 0.31, find: 0.00, post: 0.33}
inq_msg{pid: 10469, deal: 0.33, find: 0.01, post: 0.28}
inq_msg{pid: 10470, deal: 0.35, find: 0.01, post: 0.28}
inq_msg{pid: 10471, deal: 0.31, find: 0.01, post: 0.27}
inq_msg{pid: 10472, deal: 0.34, find: 0.01, post: 0.30}
inq_msg{pid: 10473, deal: 0.32, find: 0.00, post: 0.30}
inq_msg{pid: 10474, deal: 0.34, find: 0.01, post: 0.29}
inq_msg{pid: 10475, deal: 0.33, find: 0.01, post: 0.28}
inq_msg{pid: 10476, deal: 0.32, find: 0.01, post: 0.31}
inq_msg{pid: 10477, deal: 0.36, find: 0.01, post: 0.30}
inq_msg{pid: 10478, deal: 0.33, find: 0.00, post: 0.28}
inq_msg{pid: 10479, deal: 0.34, find: 0.01, post: 0.31}
inq_msg{pid: 10480, deal: 0.34, find: 0.01, post: 0.30}
inq_msg{pid: 10481, deal: 0.37, find: 0.01, post: 0.33}
inq_msg{pid: 10482, deal: 0.36, find: 0.01, post: 0.31}
inq_msg{pid: 10483, deal: 0.35, find: 0.01, post: 0.29}
inq_msg{pid: 10484, deal: 0.34, find: 0.01, post: 0.30}
inq_msg{pid: 10485, deal: 0.35, find: 0.01, post: 0.29}
inq_msg{pid: 10486, deal: 0.34, find: 0.01, post: 0.29}
inq_msg{pid: 10488, deal: 0.30, find: 0.01, post: 0.29}
inq_msg{pid: 10489, deal: 0.36, find: 0.01, post: 0.28}
inq_msg{pid: 10490, deal: 0.31, find: 0.00, post: 0.27}
inq_msg{pid: 10491, deal: 0.32, find: 0.01, post: 0.29}
inq_msg{pid: 10492, deal: 0.33, find: 0.01, post: 0.27}
inq_msg{pid: 10493, deal: 0.30, find: 0.01, post: 0.27}
inq_msg{pid: 10494, deal: 0.34, find: 0.01, post: 0.28}
inq_msg{pid: 10495, deal: 0.30, find: 0.01, post: 0.29}
inq_msg{pid: 10496, deal: 0.36, find: 0.01, post: 0.28}
inq_msg{pid: 10497, deal: 0.35, find: 0.01, post: 0.31}
inq_msg{pid: 10498, deal: 0.29, find: 0.00, post: 0.30}
inq_msg{pid: 10500, deal: 0.33, find: 0.01, post: 0.32}
inq_msg{pid: 10499, deal: 0.38, find: 0.01, post: 0.34}
inq_msg{pid: 10501, deal: 0.33, find: 0.01, post: 0.28}
inq_msg{pid: 10502, deal: 0.34, find: 0.00, post: 0.27}
inq_msg{pid: 10503, deal: 0.29, find: 0.00, post: 0.27}
listener pid: 10439
top_msg{pid: 10454, deal: 0.39, find: 0.01, post: 0.34}
top_msg{pid: 10455, deal: 0.39, find: 0.01, post: 0.32}
top_msg{pid: 10456, deal: 0.39, find: 0.01, post: 0.35}
top_msg{pid: 10457, deal: 0.36, find: 0.01, post: 0.37}
top_msg{pid: 10458, deal: 0.32, find: 0.01, post: 0.29}
top_msg{pid: 10459, deal: 0.33, find: 0.01, post: 0.29}
top_msg{pid: 10460, deal: 0.34, find: 0.01, post: 0.28}
top_msg{pid: 10461, deal: 0.34, find: 0.00, post: 0.30}
top_msg{pid: 10462, deal: 0.32, find: 0.01, post: 0.30}
top_msg{pid: 10463, deal: 0.34, find: 0.01, post: 0.28}
top_msg{pid: 10464, deal: 0.32, find: 0.01, post: 0.29}
top_msg{pid: 10465, deal: 0.35, find: 0.01, post: 0.28}
top_msg{pid: 10466, deal: 0.34, find: 0.01, post: 0.28}
top_msg{pid: 10467, deal: 0.34, find: 0.01, post: 0.35}
top_msg{pid: 10468, deal: 0.31, find: 0.00, post: 0.33}
top_msg{pid: 10469, deal: 0.33, find: 0.01, post: 0.28}
top_msg{pid: 10470, deal: 0.35, find: 0.01, post: 0.28}
top_msg{pid: 10471, deal: 0.31, find: 0.01, post: 0.27}
top_msg{pid: 10472, deal: 0.34, find: 0.01, post: 0.30}
top_msg{pid: 10473, deal: 0.32, find: 0.00, post: 0.30}
top_msg{pid: 10474, deal: 0.34, find: 0.01, post: 0.29}
